utc_timestamp,cet_cest_timestamp,DE_load_actual_entsoe_transparency,DE_solar_generation_actual,DE_wind_offshore_generation_actual,DE_wind_onshore_generation_actual,DE_50hertz_load_actual_entsoe_transparency,DE_50hertz_solar_generation_actual,DE_50hertz_wind_offshore_generation_actual,DE_50hertz_wind_onshore_generation_actual,DE_amprion_load_actual_entsoe_transparency,DE_amprion_solar_generation_actual,DE_amprion_wind_onshore_generation_actual,DE_tennet_load_actual_entsoe_transparency,DE_tennet_solar_generation_actual,DE_tennet_wind_offshore_generation_actual,DE_tennet_wind_onshore_generation_actual,DE_transnetbw_load_actual_entsoe_transparency,DE_transnetbw_solar_generation_actual,DE_transnetbw_wind_onshore_generation_actual
2018-12-31T23:00:00Z,2019-01-01T00:00:00+0100,42976,0,3136,19995,8880,0,1020,7827,15331,0,2408,13724,0,2116,9667,5041,0,94
2019-01-01T00:00:00Z,2019-01-01T01:00:00+0100,41562,0,2868,22036,8604,0,1015,8656,14872,0,2979,13222,0,1853,10297,4864,0,105
2019-01-01T01:00:00Z,2019-01-01T02:00:00+0100,40100,0,2460,22748,8205,0,660,9307,14823,0,3123,12464,0,1800,10214,4607,0,103
2019-01-01T02:00:00Z,2019-01-01T03:00:00+0100,38883,0,2698,23870,7609,0,615,9701,14640,0,3524,12108,0,2082,10496,4526,0,149
2019-01-01T03:00:00Z,2019-01-01T04:00:00+0100,38806,0,2578,25922,7564,0,494,10416,14678,0,4096,11963,0,2084,11214,4601,0,196
2019-01-01T04:00:00Z,2019-01-01T05:00:00+0100,38593,0,2379,27429,7447,0,334,11301,14403,0,4392,12215,0,2045,11458,4528,0,278
2019-01-01T05:00:00Z,2019-01-01T06:00:00+0100,38140,0,1930,29086,7366,0,339,12172,14060,0,4784,12262,0,1591,11749,4451,0,382
2019-01-01T06:00:00Z,2019-01-01T07:00:00+0100,38742,0,2045,29905,7570,0,392,12478,14108,0,4958,12570,0,1653,12051,4494,0,418
2019-01-01T07:00:00Z,2019-01-01T08:00:00+0100,39256,84,2208,30440,7630,14,561,12752,14315,15,5197,12908,38,1647,11992,4402,16,498
2019-01-01T08:00:00Z,2019-01-01T09:00:00+0100,42018,583,2075,30200,8340,140,611,13093,15491,103,5080,13495,228,1464,11416,4692,111,611
2019-01-01T09:00:00Z,2019-01-01T10:00:00+0100,44533,1369,2155,31311,8701,346,595,13082,16600,250,5314,14409,562,1560,12087,4822,210,828
2019-01-01T10:00:00Z,2019-01-01T11:00:00+0100,47489,2053,2722,32990,9341,569,879,13395,17590,400,5525,15344,815,1843,13131,5213,270,939
2019-01-01T11:00:00Z,2019-01-01T12:00:00+0100,49261,2232,2521,33379,9851,696,922,13833,18253,475,5232,15625,823,1599,13418,5532,238,897
2019-01-01T12:00:00Z,2019-01-01T13:00:00+0100,48832,2006,2283,34172,9521,624,979,13984,18214,499,5447,15539,695,1304,13837,5558,189,904
2019-01-01T13:00:00Z,2019-01-01T14:00:00+0100,48595,1297,2244,34623,9500,370,956,14052,18200,393,5697,15402,427,1288,13966,5493,108,908
2019-01-01T14:00:00Z,2019-01-01T15:00:00+0100,48826,445,2120,34728,9570,104,914,14055,18290,174,5896,15494,125,1206,13827,5472,42,949
2019-01-01T15:00:00Z,2019-01-01T16:00:00+0100,50626,22,2216,35739,10111,1,929,14288,18563,12,6461,16307,4,1288,13977,5645,5,1013
2019-01-01T16:00:00Z,2019-01-01T17:00:00+0100,53793,0,2267,36283,10728,0,997,14394,19584,0,6715,17442,0,1270,14122,6039,0,1052
2019-01-01T17:00:00Z,2019-01-01T18:00:00+0100,54371,0,2207,36324,10720,0,985,14588,20071,0,6625,17506,0,1222,14009,6074,0,1101
2019-01-01T18:00:00Z,2019-01-01T19:00:00+0100,53815,0,2173,36045,10856,0,974,14821,20082,0,6232,16916,0,1199,13884,5961,0,1108
